City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
164,Dakar,SN,81.48,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
165,Camocim,BR,77.29,scattered clouds,-2.9022,-40.8411,Hotel Ilha do Amor
173,Karratha,AU,66.18,clear sky,-20.7377,116.8463,ibis Styles Karratha
175,Thunder Bay,CA,70.99,overcast clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
176,La Huaca,PE,68.13,clear sky,-4.9117,-80.96,HOSPEDAJE “ROUSE”
177,Asau,RO,75.96,light rain,46.4333,26.4,Casa Mika Ciobanus
178,Puerto Leguizamo,CO,69.19,overcast clouds,-0.1934,-74.7819,la casona de juancho
179,Gonbad-E Qabus,IR,78.06,broken clouds,37.25,55.1672,Samin Building
180,Labuhan,ID,80.24,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
184,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
189,Antalaha,MG,65.79,few clouds,-14.9003,50.2788,Hotel Vitasoa
192,Nangong,CN,79.56,few clouds,37.3581,115.3744,7Days Inn Xingtai South Yucai Road
193,Axim,GH,75.38,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
194,Nhulunbuy,AU,84.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
196,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
204,Kavaratti,IN,82.06,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
205,Ponta Do Sol,PT,72.23,clear sky,32.6667,-17.1,Hotel do Campo
206,Kalat,PK,69.13,broken clouds,29.0225,66.5916,PHE Rest House
210,Palafrugell,ES,66.34,overcast clouds,41.9174,3.1631,Hotel La Torre
211,Ormara,PK,81.45,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
213,Surovikino,RU,75.54,clear sky,48.6078,42.8486,Guest House on Naberezhnaya 92
215,Araceli,PH,84.06,scattered clouds,10.5529,119.9913,JBryan Traveler's Inn
221,Akyab,MM,79.68,overcast clouds,20.15,92.9,Hotel Memory
225,Surt,LY,82.0,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
226,Carauari,BR,74.8,overcast clouds,-4.8828,-66.8958,Hotel Fellip
228,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
229,Alofi,NU,76.19,scattered clouds,-19.0595,-169.9187,Taloa Heights
230,Siddipet,IN,72.55,overcast clouds,18.1,78.85,Roads And Buildings (R&B) Guest House
233,Vallenar,CL,69.55,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
235,Santa Cruz,BO,65.66,smoke,-17.8,-63.1667,Aviador Hotel Boutique
236,Shanhetun,CN,72.12,light rain,44.7,127.2,Xingle Guesthouse
237,Ketchikan,US,72.07,clear sky,55.3422,-131.6461,Snows Cove Lodge
238,Qinhuangdao,CN,77.11,clear sky,39.9317,119.5883,Qinhuangdao Peninsula Seasons Hotel And Apartment
240,Vila Franca Do Campo,PT,73.81,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
242,Boali,CF,69.89,overcast clouds,4.8005,18.1275,Auberge des Cocotiers Boali poste
246,Benghazi,LY,81.57,clear sky,32.1167,20.0667,Tibesti Hotel
247,Aklavik,CA,74.89,overcast clouds,68.2191,-135.0107,Aklavik Inn
248,Ushibuka,JP,83.17,overcast clouds,32.1906,130.0228,Hotei
249,Westport,US,72.77,overcast clouds,41.1415,-73.3579,The Westport Inn
252,Byron Bay,AU,73.06,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
253,Isiro,CD,65.57,overcast clouds,2.7739,27.616,Guest House Hewa Bora
258,Tarsus,TR,78.67,clear sky,36.9188,34.8784,Osmanli Marco Pasha Hotel
260,Malkara,TR,73.98,clear sky,40.89,26.9011,Ütğm Korel Lojmanı
262,Talara,PE,65.28,clear sky,-4.5772,-81.2719,Hostal Oro Negro
264,Touros,BR,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
265,Shimoda,JP,84.24,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
266,Rayadrug,IN,71.65,overcast clouds,14.7,76.8667,Mali arts
269,Half Moon Bay,US,82.51,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
270,Uniara,IN,77.36,moderate rain,26.15,75.2167,Super rajasthani masti comedy
272,Sao Joao Do Piaui,BR,74.12,overcast clouds,-8.3581,-42.2467,Nayra Palace Hotel
274,Belmonte,BR,66.7,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
278,Grand Forks,US,78.58,smoke,47.9417,-97.4337,Warrior Inn
279,Guerrero Negro,MX,78.21,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
281,Los Llanos De Aridane,ES,68.13,overcast clouds,28.6585,-17.9182,Valle Aridane
282,Faanui,PF,78.12,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
283,Gualan,GT,75.58,broken clouds,15.1333,-89.3667,Hotel Agua Viva
285,Porto Santo,PT,71.51,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
286,Sao Miguel Do Araguaia,BR,77.04,clear sky,-13.275,-50.1628,Hotel Executivo Palace
287,Calderitas,MX,82.49,broken clouds,18.55,-88.25,Hotel Hacienda Campestre
289,Pitimbu,BR,72.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
290,Luganville,VU,76.28,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
292,Zhezkazgan,KZ,79.32,clear sky,47.8043,67.7144,Hotel Zumrat
294,Poum,NC,69.49,clear sky,-20.2333,164.0167,Gîte kajeon
303,Malakal,SS,71.2,overcast clouds,9.5334,31.6605,Nile Palace Hotel
305,Tuntum,BR,79.63,overcast clouds,-5.2581,-44.6489,Casa da Dona Maria Lúcia
306,Rengasdengklok,ID,80.73,broken clouds,-6.1592,107.2981,Kost Citra Kirana Rengasdengklok
307,Ambon,ID,82.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
310,Kindu,CD,75.67,overcast clouds,-2.95,25.95,Résidence Okanda
311,Petropavlovsk-Kamchatskiy,RU,68.59,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
312,Pontianak,ID,78.78,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
313,Pacific Grove,US,81.57,clear sky,36.6177,-121.9166,Lovers Point Inn
314,Sao Filipe,CV,75.63,few clouds,14.8961,-24.4956,Hotel Xaguate
317,Kurumkan,RU,66.25,broken clouds,54.3,110.3,Ilikchin
318,La Ronge,CA,76.93,clear sky,55.1001,-105.2842,Northland Motor Hotel
320,Homer,US,75.07,clear sky,59.6425,-151.5483,Beluga Lake Lodge
321,Fox Lake,US,69.55,clear sky,42.3967,-88.1837,Waterfront Hotel & Marina
322,Teguise,ES,66.42,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
324,Sterling,US,75.33,heavy intensity rain,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
325,Otofuke,JP,71.67,overcast clouds,42.9917,143.2003,スポーツホテル・クロス・コート
327,Oriximina,BR,76.37,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
329,Atbasar,KZ,69.91,few clouds,51.8,68.3333,"The Ritz-Carlton, Astana"
330,Sola,VU,75.76,overcast clouds,-13.8833,167.55,Leumerus Bungalows
335,Songjianghe,CN,68.18,light rain,42.1859,127.479,Sijisheng Fashion Guest House
337,Siyana,IN,81.14,broken clouds,28.6277,78.0599,Shiva guest House
338,Bima,ID,84.45,broken clouds,-8.4667,118.7167,Lambitu Hotel
340,Tuensang,IN,73.9,few clouds,26.2833,94.8333,B.W.D Resthouse.
341,Terre Haute,US,71.87,clear sky,39.4667,-87.4139,Drury Inn & Suites Terre Haute
343,Phan Thiet,VN,83.75,scattered clouds,10.9333,108.1,Hotel Saigon-PT
